Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
12:40:31, 18, 101.25, 1001.33, 5.50, 5.19
12:41:32, 18, 100.31, 1001.35, 6.00, 5.56
12:42:32, 18, 100.31, 1001.38, 6.25, 5.81
12:43:33, 13, 101.56, 1001.27, 6.50, 6.13
12:44:33, 19, 101.19, 1001.29, 6.75, 6.38
12:45:34, 17, 100.19, 1001.45, 7.00, 6.69
12:46:34, 21, 100.69, 1001.34, 7.50, 6.94
12:47:35, 13, 100.62, 1001.39, 7.75, 7.25
12:48:36, 22, 99.44, 1001.47, 8.00, 7.50
12:49:36, 23, 99.31, 1001.50, 8.25, 7.81
12:50:37, 11, 101.50, 1001.20, 8.25, 8.06
12:51:37, 17, 101.62, 1001.27, 8.50, 8.31
12:52:38, 17, 100.87, 1001.36, 8.75, 8.56
12:53:38, 22, 101.00, 1001.42, 9.00, 8.81
12:54:39, 14, 101.25, 1001.26, 9.25, 9.06
12:55:39, 17, 101.25, 1001.34, 9.50, 9.25
12:56:40, 16, 100.94, 1001.39, 9.75, 9.56
12:57:40, 14, 101.25, 1001.38, 10.00, 9.81
12:58:41, 10, 100.81, 1001.35, 10.25, 10.00
12:59:41, 24, 102.25, 1001.17, 10.50, 10.25
13:0:42, 17, 104.00, 1001.03, 10.75, 10.50
13:1:42, 13, 103.69, 1001.07, 11.00, 10.69
13:2:43, 17, 103.87, 1000.99, 11.25, 10.94
13:3:44, 13, 103.50, 1001.04, 11.50, 11.19
13:4:44, 16, 103.31, 1001.05, 11.75, 11.38
13:5:45, 13, 104.75, 1000.96, 12.00, 11.63
13:6:45, 12, 104.19, 1000.96, 12.25, 11.81
13:7:46, 15, 104.12, 1000.96, 12.50, 12.06
13:8:46, 23, 103.50, 1001.00, 12.75, 12.25
13:9:47, 24, 103.69, 1001.07, 12.75, 12.44
13:10:47, 20, 103.50, 1000.99, 12.75, 12.69
13:11:48, 22, 104.75, 1000.87, 13.00, 12.88
13:12:48, 18, 105.37, 1000.79, 13.25, 13.13
13:13:49, 27, 105.00, 1000.88, 13.50, 13.31
13:14:49, 28, 104.44, 1000.92, 13.75, 13.44
13:15:50, 17, 105.31, 1000.87, 13.75, 13.69
13:16:50, 16, 104.44, 1000.91, 14.00, 13.88
13:17:51, 24, 104.56, 1000.93, 14.25, 14.06
13:18:52, 17, 103.81, 1001.02, 14.50, 14.25
13:19:52, 15, 103.37, 1001.05, 14.50, 14.38
13:20:53, 15, 103.37, 1001.04, 14.75, 14.63
13:21:53, 18, 104.62, 1000.86, 15.00, 14.75
13:22:54, 19, 104.56, 1000.94, 15.25, 14.94
13:23:54, 13, 103.62, 1001.03, 15.25, 15.06
13:24:55, 19, 103.75, 1000.97, 15.50, 15.19
13:25:55, 8, 103.62, 1001.09, 15.50, 15.38
13:26:56, 14, 103.06, 1001.06, 15.75, 15.50
13:27:56, 14, 102.37, 1001.13, 15.75, 15.63
13:28:57, 15, 102.75, 1001.13, 15.75, 15.69
13:29:57, 18, 103.25, 1001.12, 16.00, 15.81
13:30:58, 13, 103.44, 1001.06, 16.00, 15.94
13:31:58, 19, 103.75, 1001.09, 16.25, 16.06
13:32:59, 18, 103.50, 1001.07, 16.25, 16.19
13:34:0, 24, 103.69, 1000.97, 16.50, 16.31
13:35:0, 15, 103.56, 1001.01, 16.50, 16.37
13:36:1, 13, 103.31, 1001.07, 16.75, 16.50
13:37:1, 19, 103.56, 1000.95, 16.75, 16.62
13:38:2, 14, 104.25, 1000.94, 17.00, 16.75
13:39:2, 11, 104.31, 1000.99, 17.00, 16.81
13:40:3, 18, 103.94, 1000.94, 17.00, 16.87
13:41:3, 15, 103.87, 1000.95, 17.25, 17.00
13:42:4, 9, 105.12, 1000.85, 17.25, 17.06
13:43:4, 14, 104.75, 1000.85, 17.25, 17.12
13:44:5, 20, 105.25, 1000.89, 17.50, 17.19
13:45:5, 15, 104.56, 1000.91, 17.50, 17.25
13:46:6, 22, 104.12, 1000.93, 17.50, 17.31
13:47:6, 25, 104.81, 1000.89, 17.50, 17.37
13:48:7, 19, 104.81, 1000.91, 17.75, 17.50
13:49:8, 21, 104.44, 1000.88, 17.75, 17.50
13:50:8, 12, 104.62, 1000.88, 17.75, 17.56
13:51:9, 17, 104.75, 1000.91, 17.75, 17.62
13:52:9, 27, 104.50, 1000.89, 18.00, 17.69
13:53:10, 19, 104.69, 1000.94, 18.00, 17.81
13:54:10, 17, 104.87, 1000.84, 18.00, 17.87
13:55:11, 22, 104.37, 1000.96, 18.25, 17.94
13:56:11, 15, 104.12, 1000.97, 18.25, 18.06
13:57:12, 14, 104.31, 1000.97, 18.25, 18.12
13:58:12, 10, 104.50, 1000.91, 18.50, 18.25
13:59:13, 21, 104.37, 1000.88, 18.50, 18.31
14:0:13, 17, 104.75, 1000.90, 18.50, 18.37
14:1:14, 13, 104.56, 1000.88, 18.75, 18.44
14:2:14, 19, 104.50, 1000.92, 18.75, 18.50
14:3:15, 13, 104.87, 1000.90, 18.75, 18.56
14:4:16, 15, 104.69, 1000.88, 18.75, 18.62
14:5:16, 18, 104.75, 1000.87, 18.75, 18.69
14:6:17, 16, 104.87, 1000.85, 18.75, 18.69
14:7:17, 14, 104.31, 1000.94, 19.00, 18.75
14:8:18, 15, 104.75, 1000.87, 19.00, 18.75
14:9:18, 17, 104.87, 1000.87, 19.00, 18.75
14:10:19, 25, 104.75, 1000.83, 19.00, 18.75
14:11:19, 19, 105.94, 1000.72, 19.00, 18.81
14:12:20, 19, 105.69, 1000.77, 19.00, 18.81
14:13:20, 18, 105.50, 1000.76, 19.00, 18.81
14:14:21, 18, 105.25, 1000.78, 19.00, 18.87
14:15:21, 16, 105.37, 1000.79, 19.25, 18.87
14:16:22, 24, 104.62, 1000.88, 19.25, 18.94
14:17:22, 12, 105.44, 1000.84, 19.25, 19.00
14:18:23, 18, 104.75, 1000.85, 19.25, 19.00
14:19:23, 16, 105.94, 1000.78, 19.50, 19.06
14:20:24, 16, 105.56, 1000.78, 19.50, 19.12
14:21:25, 16, 104.81, 1000.87, 19.50, 19.12
14:22:25, 15, 104.87, 1000.85, 19.50, 19.19
14:23:26, 14, 105.19, 1000.86, 19.50, 19.25
14:24:26, 21, 104.75, 1000.85, 19.50, 19.31
14:25:27, 15, 105.00, 1000.87, 19.50, 19.31
14:26:27, 15, 104.81, 1000.85, 19.75, 19.37
14:27:28, 11, 104.50, 1000.86, 19.75, 19.37
14:28:28, 22, 104.87, 1000.89, 19.75, 19.37
14:29:29, 19, 104.44, 1000.88, 19.75, 19.37
14:30:29, 19, 105.25, 1000.82, 19.75, 19.37
14:31:30, 21, 105.37, 1000.82, 19.75, 19.44
14:32:30, 20, 104.94, 1000.87, 19.75, 19.44
14:33:31, 11, 104.75, 1000.89, 19.75, 19.44
14:34:31, 25, 104.87, 1000.86, 19.75, 19.44
14:35:32, 21, 104.81, 1000.91, 19.75, 19.50
14:36:33, 18, 104.87, 1000.92, 19.75, 19.50
14:37:33, 8, 104.37, 1000.92, 19.75, 19.50
14:38:34, 12, 105.12, 1000.85, 19.75, 19.50
14:39:34, 17, 104.50, 1000.94, 19.75, 19.50
14:40:35, 25, 104.62, 1000.89, 19.75, 19.50
14:41:35, 17, 104.44, 1000.95, 19.75, 19.50
14:42:36, 21, 104.12, 1000.96, 19.75, 19.50
14:43:36, 17, 104.19, 1000.90, 19.75, 19.50
14:44:37, 17, 104.06, 1000.94, 19.75, 19.50
14:45:37, 12, 104.62, 1000.89, 19.75, 19.50
14:46:38, 16, 104.19, 1000.95, 19.75, 19.50
14:47:38, 23, 104.31, 1000.89, 19.75, 19.50
14:48:39, 18, 104.75, 1000.91, 19.75, 19.44
14:49:39, 15, 104.44, 1000.89, 19.75, 19.50
14:50:40, 19, 104.87, 1000.90, 19.75, 19.50
14:51:40, 13, 105.00, 1000.85, 19.75, 19.44
14:52:41, 21, 105.25, 1000.85, 19.75, 19.44
14:53:42, 12, 104.81, 1000.86, 19.75, 19.44
14:54:42, 20, 104.69, 1000.87, 19.75, 19.44
