Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
10:58:59, 17, 330.00, REMOVED FOR THIS FLIGHT, 974.39, 250.25, -7.56
11:0:0, 14, 329.94, REMOVED FOR THIS FLIGHT, 974.39, 251.00, -6.94
11:1:0, 22, 330.19, REMOVED FOR THIS FLIGHT, 974.39, 251.50, -6.25
11:2:1, 19, 329.88, REMOVED FOR THIS FLIGHT, 974.43, 252.25, -5.63
11:3:2, 24, 331.81, REMOVED FOR THIS FLIGHT, 974.18, 252.75, -4.94
11:4:2, 20, 331.19, REMOVED FOR THIS FLIGHT, 974.25, 253.50, -4.31
11:5:3, 18, 333.00, REMOVED FOR THIS FLIGHT, 974.01, 254.00, -3.69
11:6:3, 22, 331.63, REMOVED FOR THIS FLIGHT, 974.12, 254.00, -3.13
11:7:4, 18, 331.81, REMOVED FOR THIS FLIGHT, 974.17, 254.50, -2.50
11:8:4, 17, 333.56, REMOVED FOR THIS FLIGHT, 973.95, 255.25, -1.94
11:9:5, 17, 333.31, REMOVED FOR THIS FLIGHT, 973.96, 255.75, -1.37
11:10:6, 23, 333.50, REMOVED FOR THIS FLIGHT, 973.99, 0.25, -0.81
11:11:6, 15, 333.44, REMOVED FOR THIS FLIGHT, 974.03, 0.75, -0.25
11:12:7, 22, 334.38, REMOVED FOR THIS FLIGHT, 973.82, 1.25, 0.25
11:13:7, 17, 334.88, REMOVED FOR THIS FLIGHT, 973.75, 2.00, 0.81
11:14:8, 15, 335.81, REMOVED FOR THIS FLIGHT, 973.71, 2.50, 1.31
11:15:8, 19, 336.31, REMOVED FOR THIS FLIGHT, 973.62, 3.00, 1.81
11:16:9, 21, 335.31, REMOVED FOR THIS FLIGHT, 973.77, 3.50, 2.31
11:17:10, 30, 336.63, REMOVED FOR THIS FLIGHT, 973.57, 3.75, 2.81
11:18:10, 13, 336.81, REMOVED FOR THIS FLIGHT, 973.60, 4.25, 3.25
11:19:11, 22, 337.13, REMOVED FOR THIS FLIGHT, 973.60, 4.75, 3.75
11:20:11, 19, 335.75, REMOVED FOR THIS FLIGHT, 973.76, 5.25, 4.19
11:21:12, 15, 337.31, REMOVED FOR THIS FLIGHT, 973.50, 5.75, 4.63
11:22:12, 18, 336.75, REMOVED FOR THIS FLIGHT, 973.61, 6.00, 5.06
11:23:13, 24, 336.38, REMOVED FOR THIS FLIGHT, 973.69, 6.50, 5.50
11:24:14, 13, 336.63, REMOVED FOR THIS FLIGHT, 973.60, 6.50, 5.94
11:25:14, 15, 336.88, REMOVED FOR THIS FLIGHT, 973.54, 7.00, 6.31
11:26:15, 19, 337.31, REMOVED FOR THIS FLIGHT, 973.48, 7.25, 6.75
11:27:15, 12, 338.13, REMOVED FOR THIS FLIGHT, 973.45, 7.75, 7.13
11:28:16, 11, 337.81, REMOVED FOR THIS FLIGHT, 973.51, 8.00, 7.50
11:29:16, 16, 337.19, REMOVED FOR THIS FLIGHT, 973.62, 8.50, 7.88
11:30:17, 15, 337.88, REMOVED FOR THIS FLIGHT, 973.47, 8.75, 8.25
11:31:17, 22, 338.19, REMOVED FOR THIS FLIGHT, 973.40, 9.25, 8.56
11:32:18, 18, 337.75, REMOVED FOR THIS FLIGHT, 973.50, 9.50, 8.94
11:33:18, 20, 337.75, REMOVED FOR THIS FLIGHT, 973.46, 9.75, 9.25
11:34:19, 18, 337.63, REMOVED FOR THIS FLIGHT, 973.47, 10.25, 9.56
11:35:19, 17, 337.00, REMOVED FOR THIS FLIGHT, 973.53, 10.50, 9.94
11:36:20, 16, 338.06, REMOVED FOR THIS FLIGHT, 973.44, 10.75, 10.25
11:37:20, 16, 337.75, REMOVED FOR THIS FLIGHT, 973.47, 11.25, 10.56
11:38:21, 15, 339.56, REMOVED FOR THIS FLIGHT, 973.21, 11.50, 10.88
11:39:22, 15, 339.81, REMOVED FOR THIS FLIGHT, 973.21, 11.75, 11.19
11:40:22, 28, 339.25, REMOVED FOR THIS FLIGHT, 973.34, 12.00, 11.50
11:41:23, 22, 338.56, REMOVED FOR THIS FLIGHT, 973.35, 12.25, 11.75
11:42:23, 24, 338.88, REMOVED FOR THIS FLIGHT, 973.29, 12.50, 12.00
11:43:24, 33, 338.88, REMOVED FOR THIS FLIGHT, 973.35, 12.50, 12.31
11:44:24, 13, 339.19, REMOVED FOR THIS FLIGHT, 973.27, 13.00, 12.56
11:45:25, 15, 339.31, REMOVED FOR THIS FLIGHT, 973.32, 13.25, 12.81
11:46:25, 18, 338.44, REMOVED FOR THIS FLIGHT, 973.40, 13.50, 13.06
11:47:26, 24, 338.81, REMOVED FOR THIS FLIGHT, 973.29, 13.75, 13.31
11:48:26, 17, 339.06, REMOVED FOR THIS FLIGHT, 973.28, 14.00, 13.56
11:49:27, 28, 339.00, REMOVED FOR THIS FLIGHT, 973.31, 14.25, 13.81
11:50:27, 17, 339.13, REMOVED FOR THIS FLIGHT, 973.40, 14.50, 14.06
11:51:28, 14, 338.75, REMOVED FOR THIS FLIGHT, 973.36, 14.50, 14.31
11:52:28, 31, 339.75, REMOVED FOR THIS FLIGHT, 973.22, 14.75, 14.56
11:53:29, 14, 339.44, REMOVED FOR THIS FLIGHT, 973.29, 15.00, 14.75
11:54:30, 14, 338.94, REMOVED FOR THIS FLIGHT, 973.37, 15.25, 14.94
11:55:30, 17, 338.81, REMOVED FOR THIS FLIGHT, 973.34, 15.50, 15.19
11:56:31, 25, 339.06, REMOVED FOR THIS FLIGHT, 973.38, 15.75, 15.38
11:57:31, 15, 338.75, REMOVED FOR THIS FLIGHT, 973.40, 16.00, 15.56
11:58:32, 13, 339.06, REMOVED FOR THIS FLIGHT, 973.32, 16.00, 15.81
11:59:32, 13, 338.69, REMOVED FOR THIS FLIGHT, 973.37, 16.25, 15.94
12:0:33, 26, 338.56, REMOVED FOR THIS FLIGHT, 973.37, 16.50, 16.19
12:1:33, 17, 339.50, REMOVED FOR THIS FLIGHT, 973.26, 16.50, 16.37
12:2:34, 19, 339.38, REMOVED FOR THIS FLIGHT, 973.27, 16.75, 16.56
12:3:34, 18, 339.81, REMOVED FOR THIS FLIGHT, 973.24, 16.75, 16.75
12:4:35, 19, 340.94, REMOVED FOR THIS FLIGHT, 973.13, 17.00, 16.94
12:5:35, 16, 341.63, REMOVED FOR THIS FLIGHT, 973.05, 17.25, 17.06
12:6:36, 19, 341.00, REMOVED FOR THIS FLIGHT, 973.08, 17.25, 17.25
12:7:36, 11, 340.94, REMOVED FOR THIS FLIGHT, 973.14, 17.50, 17.44
12:8:37, 20, 340.44, REMOVED FOR THIS FLIGHT, 973.16, 17.75, 17.62
12:9:38, 15, 340.31, REMOVED FOR THIS FLIGHT, 973.19, 17.75, 17.75
12:10:38, 17, 339.56, REMOVED FOR THIS FLIGHT, 973.23, 18.00, 17.87
12:11:39, 13, 339.38, REMOVED FOR THIS FLIGHT, 973.25, 18.25, 18.06
12:12:39, 25, 340.13, REMOVED FOR THIS FLIGHT, 973.23, 18.25, 18.19
12:13:40, 18, 339.81, REMOVED FOR THIS FLIGHT, 973.23, 18.50, 18.37
12:14:40, 20, 340.63, REMOVED FOR THIS FLIGHT, 973.13, 18.50, 18.50
12:15:41, 18, 340.69, REMOVED FOR THIS FLIGHT, 973.10, 18.75, 18.62
12:16:41, 8, 340.75, REMOVED FOR THIS FLIGHT, 973.14, 19.00, 18.75
12:17:42, 21, 340.69, REMOVED FOR THIS FLIGHT, 973.15, 19.00, 18.87
12:18:42, 15, 340.06, REMOVED FOR THIS FLIGHT, 973.19, 19.25, 19.00
12:19:43, 21, 340.38, REMOVED FOR THIS FLIGHT, 973.19, 19.25, 19.12
